location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.01,17733
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.025,21542
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.05,21794
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.1,23368
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.15,23547
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.2,23635
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.25,23704
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.3,23787
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.35,23829
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.4,23876
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.45,23929
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.5,23951
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.55,23973
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.6,24026
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.65,24073
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.7,24115
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.75,24198
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.8,24267
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.85,24355
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.9,24534
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.95,26108
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.975,26360
US,2022-12-17,0,2022-12-17,wk inc flu hosp,quantile,0.99,30169
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.01,16566
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.025,18886
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.05,21361
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.1,22077
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.15,23164
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.2,23397
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.25,23534
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.3,23635
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.35,23728
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.4,23808
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.45,23884
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.5,23951
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.55,24018
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.6,24093
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.65,24173
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.7,24265
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.75,24369
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.8,24510
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.85,24744
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.9,25816
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.95,26530
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.975,28980
US,2022-12-17,1,2022-12-24,wk inc flu hosp,quantile,0.99,31356
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.01,16035
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.025,17456
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.05,20206
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.1,21653
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.15,22396
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.2,23077
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.25,23333
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.3,23499
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.35,23632
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.4,23745
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.45,23850
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.5,23951
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.55,24051
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.6,24156
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.65,24272
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.7,24406
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.75,24580
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.8,24832
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.85,25526
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.9,26262
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.95,27707
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.975,30408
US,2022-12-17,2,2022-12-31,wk inc flu hosp,quantile,0.99,31813
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.01,15621
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.025,16873
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.05,19066
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.1,21274
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.15,21916
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.2,22620
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.25,23078
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.3,23336
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.35,23523
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.4,23677
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.45,23815
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.5,23951
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.55,24087
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.6,24223
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.65,24381
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.7,24567
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.75,24820
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.8,25272
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.85,25978
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.9,26628
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.95,28865
US,2022-12-17,3,2023-01-07,wk inc flu hosp,quantile,0.975,31034
