location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.01,30
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.025,34
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.05,40
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.1,52
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.15,64
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.2,75
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.25,87
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.3,98
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.35,109
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.4,118
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.45,127
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.5,137
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.55,142
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.6,150
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.65,159
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.7,168
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.75,179
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.8,192
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.85,206
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.9,230
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.95,264
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.975,290
01,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.99,315
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.01,0
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.025,8
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.05,16
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.1,29
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.15,40
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.2,50
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.25,61
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.3,73
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.35,85
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.4,101
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.45,121
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.5,137
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.55,140
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.6,153
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.65,168
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.7,182
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.75,199
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.8,218
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.85,241
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.9,271
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.95,313
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.975,349
01,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.99,395
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.01,0
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.025,0
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.05,1
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.1,11
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.15,21
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.2,32
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.25,44
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.3,57
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.35,70
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.4,89
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.45,115
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.5,137
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.55,141
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.6,156
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.65,173
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.7,192
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.75,212
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.8,236
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.85,264
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.9,298
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.95,350
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.975,397
01,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.99,452
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.01,0
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.025,0
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.05,0
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.1,0
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.15,6
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.2,16
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.25,27
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.3,41
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.35,60
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.4,81
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.45,111
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.5,137
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.55,142
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.6,157
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.65,177
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.7,199
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.75,223
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.8,251
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.85,282
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.9,321
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.95,382
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.975,436
01,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.99,499
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.01,4
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.025,4
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.05,4
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.1,6
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.15,8
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.2,10
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.25,13
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.3,17
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.35,21
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.4,25
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.45,30
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.5,35
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.55,39
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.6,44
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.65,48
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.7,53
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.75,58
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.8,64
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.85,70
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.9,78
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.95,88
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.975,97
02,2023-01-14,0,2023-01-14,wk inc flu hosp,quantile,0.99,106
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.01,0
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.025,0
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.05,0
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.1,0
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.15,1
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.2,3
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.25,6
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.3,10
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.35,14
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.4,20
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.45,27
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.5,34
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.55,39
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.6,45
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.65,52
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.7,59
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.75,66
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.8,75
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.85,84
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.9,97
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.95,114
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.975,130
02,2023-01-14,1,2023-01-21,wk inc flu hosp,quantile,0.99,145
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.01,0
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.025,0
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.05,0
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.1,0
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.15,0
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.2,1
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.25,2
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.3,5
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.35,10
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.4,16
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.45,25
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.5,34
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.55,40
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.6,47
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.65,55
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.7,64
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.75,73
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.8,83
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.85,95
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.9,110
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.95,134
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.975,153
02,2023-01-14,2,2023-01-28,wk inc flu hosp,quantile,0.99,176
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.01,0
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.025,0
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.05,0
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.1,0
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.15,0
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.2,0
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.25,1
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.3,3
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.35,7
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.4,14
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.45,23
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.5,34
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.55,40
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.6,48
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.65,58
02,2023-01-14,3,2023-02-04,wk inc flu hosp,quantile,0.7,68
