location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
US,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,2380
01,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,141
02,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,3
04,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,22
05,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,50
06,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,124
08,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,15
09,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,9
10,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,1
11,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,8
12,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,125
13,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,119
15,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,4
16,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,1
17,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,45
18,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,72
19,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,10
20,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,16
21,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,15
22,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,97
23,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,0
24,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,49
25,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,8
26,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,17
27,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,11
28,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,90
29,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,23
30,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,0
31,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,14
32,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,14
33,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,1
34,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,32
35,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,29
36,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,49
37,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,79
38,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,1
39,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,39
40,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,36
41,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,6
42,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,97
44,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,2
45,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,88
46,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,12
47,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,94
48,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,509
49,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,8
50,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,0
51,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,89
53,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,20
54,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,23
55,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,8
56,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,1
72,2022-10-22,0,2022-10-22,wk inc flu hosp,quantile,*,54
US,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,4353
01,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,262
02,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,14
04,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,34
05,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,84
06,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,211
08,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,32
09,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,37
10,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,4
11,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,11
12,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,260
13,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,176
15,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,6
16,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,1
17,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,104
18,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,102
19,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,19
20,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,20
21,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,66
22,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,188
23,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,3
24,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,109
25,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,14
26,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,46
27,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,43
28,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,165
29,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,56
30,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,5
31,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,16
32,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,12
33,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,0
34,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,76
35,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,56
36,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,107
37,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,211
38,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,2
39,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,115
40,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,59
41,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,5
42,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,179
44,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,0
45,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,163
46,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,9
47,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,130
48,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,744
49,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,11
50,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,1
51,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,186
53,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,35
54,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,66
55,2022-10-29,0,2022-10-29,wk inc flu hosp,quantile,*,17
