location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
US,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,2380
01,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,141
02,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,3
04,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,22
05,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,50
06,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,124
08,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,15
09,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,9
10,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,1
11,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,8
12,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,125
13,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,119
15,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,4
16,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,1
17,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,45
18,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,72
19,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,10
20,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,16
21,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,15
22,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,97
23,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,0
24,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,49
25,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,8
26,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,17
27,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,11
28,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,90
29,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,23
30,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,0
31,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,14
32,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,14
33,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,1
34,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,32
35,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,29
36,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,49
37,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,79
38,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,1
39,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,39
40,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,36
41,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,6
42,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,97
44,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,2
45,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,88
46,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,12
47,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,94
48,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,509
49,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,8
50,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,0
51,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,89
53,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,20
54,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,23
55,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,8
56,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,1
72,NA,NA,2022-10-22,wk inc flu hosp,NA,NA,54
US,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,4353
01,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,262
02,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,14
04,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,34
05,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,84
06,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,211
08,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,32
09,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,37
10,NA,NA,2022-10-29,wk inc flu hosp,NA,NA,4
