location,reference_date,horizon,target_end_date,target,output_type_id,value
01,2022-10-22,0,2022-10-22,wk inc flu hosp,NA,141
01,2022-10-22,1,2022-10-29,wk inc flu hosp,NA,262
01,2022-10-22,2,2022-11-05,wk inc flu hosp,NA,360
01,2022-10-22,3,2022-11-12,wk inc flu hosp,NA,303
01,2022-10-29,0,2022-10-29,wk inc flu hosp,NA,262
01,2022-10-29,1,2022-11-05,wk inc flu hosp,NA,360
01,2022-10-29,2,2022-11-12,wk inc flu hosp,NA,303
01,2022-10-29,3,2022-11-19,wk inc flu hosp,NA,226
01,2022-11-05,0,2022-11-05,wk inc flu hosp,NA,360
01,2022-11-05,1,2022-11-12,wk inc flu hosp,NA,303
01,2022-11-05,2,2022-11-19,wk inc flu hosp,NA,226
01,2022-11-05,3,2022-11-26,wk inc flu hosp,NA,261
01,2022-11-12,0,2022-11-12,wk inc flu hosp,NA,303
01,2022-11-12,1,2022-11-19,wk inc flu hosp,NA,226
01,2022-11-12,2,2022-11-26,wk inc flu hosp,NA,261
01,2022-11-12,3,2022-12-03,wk inc flu hosp,NA,351
01,2022-11-19,0,2022-11-19,wk inc flu hosp,NA,226
01,2022-11-19,1,2022-11-26,wk inc flu hosp,NA,261
01,2022-11-19,2,2022-12-03,wk inc flu hosp,NA,351
01,2022-11-19,3,2022-12-10,wk inc flu hosp,NA,223
01,2022-11-26,0,2022-11-26,wk inc flu hosp,NA,261
01,2022-11-26,1,2022-12-03,wk inc flu hosp,NA,351
01,2022-11-26,2,2022-12-10,wk inc flu hosp,NA,223
01,2022-11-26,3,2022-12-17,wk inc flu hosp,NA,143
01,2022-12-03,0,2022-12-03,wk inc flu hosp,NA,351
01,2022-12-03,1,2022-12-10,wk inc flu hosp,NA,223
01,2022-12-03,2,2022-12-17,wk inc flu hosp,NA,143
01,2022-12-03,3,2022-12-24,wk inc flu hosp,NA,155
01,2022-12-10,0,2022-12-10,wk inc flu hosp,NA,223
01,2022-12-10,1,2022-12-17,wk inc flu hosp,NA,143
01,2022-12-10,2,2022-12-24,wk inc flu hosp,NA,155
01,2022-12-10,3,2022-12-31,wk inc flu hosp,NA,140
01,2022-12-17,0,2022-12-17,wk inc flu hosp,NA,143
01,2022-12-17,1,2022-12-24,wk inc flu hosp,NA,155
01,2022-12-17,2,2022-12-31,wk inc flu hosp,NA,140
01,2022-12-17,3,2023-01-07,wk inc flu hosp,NA,125
01,2022-12-24,0,2022-12-24,wk inc flu hosp,NA,155
01,2022-12-24,1,2022-12-31,wk inc flu hosp,NA,140
01,2022-12-24,2,2023-01-07,wk inc flu hosp,NA,125
01,2022-12-24,3,2023-01-14,wk inc flu hosp,NA,94
01,2022-12-31,0,2022-12-31,wk inc flu hosp,NA,140
01,2022-12-31,1,2023-01-07,wk inc flu hosp,NA,125
01,2022-12-31,2,2023-01-14,wk inc flu hosp,NA,94
01,2022-12-31,3,2023-01-21,wk inc flu hosp,NA,57
01,2023-01-07,0,2023-01-07,wk inc flu hosp,NA,125
01,2023-01-07,1,2023-01-14,wk inc flu hosp,NA,94
01,2023-01-07,2,2023-01-21,wk inc flu hosp,NA,57
01,2023-01-07,3,2023-01-28,wk inc flu hosp,NA,42
01,2023-01-14,0,2023-01-14,wk inc flu hosp,NA,94
01,2023-01-14,1,2023-01-21,wk inc flu hosp,NA,57
01,2023-01-14,2,2023-01-28,wk inc flu hosp,NA,42
01,2023-01-14,3,2023-02-04,wk inc flu hosp,NA,28
01,2023-01-21,0,2023-01-21,wk inc flu hosp,NA,57
01,2023-01-21,1,2023-01-28,wk inc flu hosp,NA,42
01,2023-01-21,2,2023-02-04,wk inc flu hosp,NA,28
01,2023-01-21,3,2023-02-11,wk inc flu hosp,NA,33
01,2023-01-28,0,2023-01-28,wk inc flu hosp,NA,42
01,2023-01-28,1,2023-02-04,wk inc flu hosp,NA,28
01,2023-01-28,2,2023-02-11,wk inc flu hosp,NA,33
01,2023-01-28,3,2023-02-18,wk inc flu hosp,NA,31
01,2023-02-04,0,2023-02-04,wk inc flu hosp,NA,28
01,2023-02-04,1,2023-02-11,wk inc flu hosp,NA,33
01,2023-02-04,2,2023-02-18,wk inc flu hosp,NA,31
01,2023-02-04,3,2023-02-25,wk inc flu hosp,NA,26
01,2023-02-11,0,2023-02-11,wk inc flu hosp,NA,33
01,2023-02-11,1,2023-02-18,wk inc flu hosp,NA,31
01,2023-02-11,2,2023-02-25,wk inc flu hosp,NA,26
01,2023-02-11,3,2023-03-04,wk inc flu hosp,NA,18
01,2023-02-18,0,2023-02-18,wk inc flu hosp,NA,31
01,2023-02-18,1,2023-02-25,wk inc flu hosp,NA,26
01,2023-02-18,2,2023-03-04,wk inc flu hosp,NA,18
01,2023-02-18,3,2023-03-11,wk inc flu hosp,NA,16
01,2023-02-25,0,2023-02-25,wk inc flu hosp,NA,26
01,2023-02-25,1,2023-03-04,wk inc flu hosp,NA,18
01,2023-02-25,2,2023-03-11,wk inc flu hosp,NA,16
01,2023-02-25,3,2023-03-18,wk inc flu hosp,NA,24
01,2023-03-04,0,2023-03-04,wk inc flu hosp,NA,18
01,2023-03-04,1,2023-03-11,wk inc flu hosp,NA,16
01,2023-03-04,2,2023-03-18,wk inc flu hosp,NA,24
01,2023-03-04,3,2023-03-25,wk inc flu hosp,NA,20
01,2023-03-11,0,2023-03-11,wk inc flu hosp,NA,16
01,2023-03-11,1,2023-03-18,wk inc flu hosp,NA,24
01,2023-03-11,2,2023-03-25,wk inc flu hosp,NA,20
01,2023-03-11,3,2023-04-01,wk inc flu hosp,NA,26
01,2023-03-18,0,2023-03-18,wk inc flu hosp,NA,24
01,2023-03-18,1,2023-03-25,wk inc flu hosp,NA,20
01,2023-03-18,2,2023-04-01,wk inc flu hosp,NA,26
01,2023-03-18,3,2023-04-08,wk inc flu hosp,NA,15
01,2023-03-25,0,2023-03-25,wk inc flu hosp,NA,20
01,2023-03-25,1,2023-04-01,wk inc flu hosp,NA,26
01,2023-03-25,2,2023-04-08,wk inc flu hosp,NA,15
01,2023-03-25,3,2023-04-15,wk inc flu hosp,NA,19
01,2023-04-01,0,2023-04-01,wk inc flu hosp,NA,26
01,2023-04-01,1,2023-04-08,wk inc flu hosp,NA,15
01,2023-04-01,2,2023-04-15,wk inc flu hosp,NA,19
01,2023-04-01,3,2023-04-22,wk inc flu hosp,NA,19
01,2023-04-08,0,2023-04-08,wk inc flu hosp,NA,15
01,2023-04-08,1,2023-04-15,wk inc flu hosp,NA,19
01,2023-04-08,2,2023-04-22,wk inc flu hosp,NA,19
01,2023-04-08,3,2023-04-29,wk inc flu hosp,NA,12
01,2023-04-15,0,2023-04-15,wk inc flu hosp,NA,19
01,2023-04-15,1,2023-04-22,wk inc flu hosp,NA,19
01,2023-04-15,2,2023-04-29,wk inc flu hosp,NA,12
01,2023-04-15,3,2023-05-06,wk inc flu hosp,NA,6
01,2023-04-22,0,2023-04-22,wk inc flu hosp,NA,19
01,2023-04-22,1,2023-04-29,wk inc flu hosp,NA,12
01,2023-04-22,2,2023-05-06,wk inc flu hosp,NA,6
01,2023-04-22,3,2023-05-13,wk inc flu hosp,NA,15
01,2023-04-29,0,2023-04-29,wk inc flu hosp,NA,12
01,2023-04-29,1,2023-05-06,wk inc flu hosp,NA,6
01,2023-04-29,2,2023-05-13,wk inc flu hosp,NA,15
01,2023-04-29,3,2023-05-20,wk inc flu hosp,NA,9
01,2023-05-06,0,2023-05-06,wk inc flu hosp,NA,6
01,2023-05-06,1,2023-05-13,wk inc flu hosp,NA,15
01,2023-05-06,2,2023-05-20,wk inc flu hosp,NA,9
01,2023-05-06,3,2023-05-27,wk inc flu hosp,NA,13
01,2023-05-13,0,2023-05-13,wk inc flu hosp,NA,15
01,2023-05-13,1,2023-05-20,wk inc flu hosp,NA,9
01,2023-05-13,2,2023-05-27,wk inc flu hosp,NA,13
01,2023-05-13,3,2023-06-03,wk inc flu hosp,NA,25
01,2023-05-20,0,2023-05-20,wk inc flu hosp,NA,9
01,2023-05-20,1,2023-05-27,wk inc flu hosp,NA,13
01,2023-05-20,2,2023-06-03,wk inc flu hosp,NA,25
01,2023-05-20,3,2023-06-10,wk inc flu hosp,NA,11
