date,location,value
2020-01-11,01,0
2020-01-11,15,0
2020-01-11,18,0
2020-01-11,27,0
2020-01-11,30,0
2020-01-11,37,0
2020-01-11,48,0
2020-01-11,US,1
2020-01-18,01,0
2020-01-18,15,0
2020-01-18,18,0
2020-01-18,27,0
2020-01-18,30,0
2020-01-18,37,0
2020-01-18,48,0
2020-01-18,US,0
2020-01-25,01,0
2020-01-25,15,0
2020-01-25,18,0
2020-01-25,27,0
2020-01-25,30,0
2020-01-25,37,0
2020-01-25,48,0
2020-01-25,US,0
2020-02-01,01,0
2020-02-01,15,0
2020-02-01,18,0
2020-02-01,27,0
2020-02-01,30,0
2020-02-01,37,0
2020-02-01,32,0
2020-02-01,48,0
2020-02-01,US,0
2020-02-08,01,0
2020-02-08,15,0
2020-02-08,18,0
2020-02-08,20,0
2020-02-08,27,0
2020-02-08,30,0
2020-02-08,37,0
2020-02-08,32,0
2020-02-08,48,0
2020-02-08,US,0
2020-02-15,01,0
2020-02-15,15,0
2020-02-15,18,0
2020-02-15,20,0
2020-02-15,27,0
2020-02-15,30,0
2020-02-15,37,0
2020-02-15,32,0
2020-02-15,48,0
2020-02-15,US,0
2020-02-22,01,0
2020-02-22,15,0
2020-02-22,18,0
2020-02-22,20,0
2020-02-22,27,0
2020-02-22,30,0
2020-02-22,37,0
2020-02-22,32,0
2020-02-22,48,0
2020-02-22,US,0
2020-02-29,01,0
2020-02-29,15,0
2020-02-29,17,0
2020-02-29,18,0
2020-02-29,20,0
2020-02-29,27,0
2020-02-29,29,0
2020-02-29,30,0
2020-02-29,37,0
2020-02-29,32,0
2020-02-29,41,0
2020-02-29,48,0
2020-02-29,US,0
2020-03-07,01,0
2020-03-07,04,0
2020-03-07,06,0
2020-03-07,13,0
2020-03-07,15,0
2020-03-07,19,0
2020-03-07,17,0
2020-03-07,18,0
2020-03-07,20,0
2020-03-07,21,0
2020-03-07,22,0
2020-03-07,24,0
2020-03-07,23,0
2020-03-07,26,0
2020-03-07,27,0
2020-03-07,29,0
2020-03-07,28,0
2020-03-07,30,0
2020-03-07,37,0
2020-03-07,38,0
2020-03-07,31,0
2020-03-07,34,0
2020-03-07,32,0
2020-03-07,39,0
2020-03-07,40,0
2020-03-07,41,0
2020-03-07,42,0
2020-03-07,72,0
2020-03-07,45,0
2020-03-07,48,0
2020-03-07,US,0
2020-03-07,51,0
2020-03-07,53,0
2020-03-07,55,0
2020-03-07,54,0
2020-03-07,56,0
2020-03-14,01,0
2020-03-14,04,0
2020-03-14,06,0
2020-03-14,13,0
2020-03-14,15,0
2020-03-14,19,0
2020-03-14,17,0
2020-03-14,18,0
2020-03-14,20,0
2020-03-14,21,0
2020-03-14,22,0
2020-03-14,24,0
2020-03-14,23,0
2020-03-14,26,0
2020-03-14,27,0
2020-03-14,29,0
2020-03-14,28,0
2020-03-14,30,0
2020-03-14,37,0
2020-03-14,38,0
2020-03-14,31,0
2020-03-14,34,0
2020-03-14,32,0
2020-03-14,39,0
2020-03-14,40,0
2020-03-14,41,0
2020-03-14,42,0
2020-03-14,72,0
2020-03-14,44,0
2020-03-14,45,0
2020-03-14,48,0
2020-03-14,US,0
2020-03-14,51,0
2020-03-14,53,0
2020-03-14,55,0
2020-03-14,54,0
2020-03-14,56,0
2020-03-21,01,0
2020-03-21,05,0
2020-03-21,04,0
2020-03-21,06,0
2020-03-21,12,0
2020-03-21,13,0
2020-03-21,15,0
2020-03-21,19,0
2020-03-21,16,0
2020-03-21,17,0
2020-03-21,18,0
2020-03-21,20,0
2020-03-21,21,0
2020-03-21,22,0
2020-03-21,24,0
2020-03-21,23,0
2020-03-21,26,0
2020-03-21,27,0
2020-03-21,29,0
2020-03-21,28,0
2020-03-21,30,0
2020-03-21,37,0
2020-03-21,38,0
2020-03-21,31,0
2020-03-21,34,0
2020-03-21,35,0
2020-03-21,32,0
2020-03-21,36,0
2020-03-21,39,0
2020-03-21,40,0
2020-03-21,41,0
2020-03-21,42,0
2020-03-21,72,0
2020-03-21,44,0
2020-03-21,45,0
2020-03-21,47,0
2020-03-21,48,0
2020-03-21,US,0
2020-03-21,51,0
2020-03-21,53,0
2020-03-21,55,0
2020-03-21,54,0
2020-03-21,56,0
2020-03-28,02,0
2020-03-28,01,0
2020-03-28,05,0
2020-03-28,04,0
2020-03-28,06,0
2020-03-28,09,0
2020-03-28,12,0
2020-03-28,13,0
2020-03-28,15,0
2020-03-28,19,0
2020-03-28,16,0
2020-03-28,17,0
2020-03-28,18,0
2020-03-28,20,0
2020-03-28,21,0
2020-03-28,22,0
2020-03-28,24,0
2020-03-28,23,0
2020-03-28,26,0
2020-03-28,27,0
2020-03-28,29,0
2020-03-28,28,0
2020-03-28,30,0
2020-03-28,37,0
2020-03-28,38,0
2020-03-28,31,0
2020-03-28,34,0
2020-03-28,35,0
2020-03-28,32,0
2020-03-28,36,0
2020-03-28,39,0
2020-03-28,40,0
2020-03-28,41,0
2020-03-28,42,0
